#,Linear ID,Refined Feature Name,Original Name,Strategy,Theme,Category,Value Proposition,Complexity,Raw Input
14,ROUTE-606,Manage Existing Subcontractor Network,Contractor Network Management and Scope Expansion,Next,Expansion,Dashboard,Lets primes import existing subs from Excel,High,"[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1756932926799019)

> ""CUSTOMER FEEDBACK- Customer Feedback: New Image Building Services We just met with New Image Building Services ($20–30M) who is supportive of Route and sees clear value for both small and large contractors. While they raised some concerns about our ability to deliver a product (which we addressed), they’re open to working with us once we go live. Currently, they manage 15–20 cleaning and 40+ maintenance subcontractors using Excel and Google Maps, handling 1–2 subcontracts monthly across 20 states.All that said, here are some takeaways we need to think through how we take companies like this with their own network of subcontractors, process to manage to these subcontractors and show them our platform is a better tool to BOTH MANAGE and EXPAND their subcontractor network. NOTE: This will open the door for contractors wanting us to add other non-cleaning service type contractors to the platform, e.g. paint, construction, electrical, etc. If we say YES to these additions, we will like get companies to agree to move over, although if we say cleaning only companies in our platform, we will likely get push back as they will not want to manage contractors from two systems.REPLAY LINK BELOW [https://fathom.video/share/oCHf97KySL-NnxqGfWYh98WgjNmtq-qT](https://www.google.com/search?q=https://fathom.video/share/oCHf97KySL-NnxqGfWYh98WgjNmtq-qT)"""
15,ROUTE-602,Poor Search Results Feedback + Geocoding Fix,"Data Sync, Search Feedback, and Geocoding Logic",-,Search,Search,Alerts team when search yields no matches,Low,"[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1755288027933939)

> ""I will start to test the new filters. That said, looks like we loaded all the services to the filter tool. As such, we need to update HubSpot to reflect these options so we are capturing these data points that will feed into Marketplace.Would like to have a button a user can click on that if they get poor results from a given search area, they can send us an alert email that notifying us to place focus on a given area and search needs (does this make sense). Should capture their email so we can reply back after adding/updating database.Please review and advise on the following: If a COMPANY ACCOUNT TYPE in HubSpot is updated, e.g. change from E-CC to another, will it remove from MAP when I sync. Catching a few accounts that are not E-CC (part of a bulk load) and want to make sure not on the map Would like to have a fall back that if a E-CC account does not have an Address 1, the fall back is City, State, Zip/Postal Code and Country will suffice to place a PIN on the map. This is an issue with some of the smaller companies having PO BOXES or NOT WILLING to share physical address. I know we are not ready international although wanted to share we got (as expected) a request from a paying customer to help find three (contractors in Mexico - address below). As I loaded addresses in Hubspot and ran Marketplace Zip lookup and got some really odd results - was hoping the ZIP and COUNTRY have worked, e.g. Mexico 88500 Victoria Mx 87000 Avenida Transformation 101, Parque Industrial Nuevo Santander Reynosa Plant 1 Mx 88500 Carretera Reynosa Matamoros KM,85, Parque Industrial Prologis Tijuana Plant Mx 22000 Calle Saturno No. 309, Fracc. Planetario Reynosa Plant 2 Mx 88500 Ave. Chapultepec Lote 1 Manzana 5 Parque Industrial Colonial
>
> Attached is a link to a document that outlines the key data fields we need to begin collecting from each company’s Certificate of Insurance (COI). These fields will eventually become searchable within Marketplace. The long-term vision is twofold: Policy Management & Reminders We’ll automate notifications for upcoming COI renewals—alerting both the contractor (at 90, 60, and 30 days out) and the PRIME (at 15 days out and again on the expiration date, if no update has been made). This ensures better compliance and fewer surprises across all subcontractor relationships. Insurance Optimization & Revenue Opportunities By analyzing this data, we’ll be able to flag when a contractor may be over- or under-insured—helping them ""rightsize"" their coverage to match the scale of their business. Additionally, by capturing the insurance carrier name and expiration date, we create a window of opportunity to collaborate with our insurance partners—enabling us to:Offer early outreach and support to help contractors secure the best-fit policies. Generate dual revenue streams through both access to carrier/expiration data and recurring commissions from successfully closed insurance opportunities. Overall, have to believe there’s a strong opportunity to leverage OCR or AI technology to scan uploaded COIs and auto-populate or update the required data fields. This would streamline the process significantly and ensure accuracy at scale.Let me know if you have any questions as you review the document.[https://docs.google.com/document/d/1D8GPOMz_3Ro3-YGxrkbG3S6yDeI7Y3ow/edit?usp=sharing&ouid=114154587924383815728&rtpof=true&sd=true](https://docs.google.com/document/d/1D8GPOMz_3Ro3-YGxrkbG3S6yDeI7Y3ow/edit?usp=sharing&ouid=114154587924383815728&rtpof=true&sd=true)"""
16,ROUTE-600,Show Service Radius in Miles + Kilometers,Display Service Radius in Miles and Kilometers,-,International,Search,Prepares platform for international expansion,Low,"[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1759174277510249)

> ""REMINDER:SERVICE RADIUS up to 50 Miles / 80.46 km any request >50 Miles / 80.46 km needs to BOOK AN APPOINTMENT --- booking link >>[https://meetings.hubspot.com/cleanjack/route-onboarding-training-callAlso](https://meetings.hubspot.com/cleanjack/route-onboarding-training-callAlso), can we make the miles displayed such we are starting to incorporate km? e.g.1 Mile / 1.61 km 2 Miles / 3.22 km 3 Miles / 4.82 km 4 Miles / 6.44 km etc,
>
> Carly
>
> Sep 29th at 2:32 PM Does it matter that a lot of the people filling out the waitlist posted 100miles service radius?
>
> Jack Ellison
>
> Sep 29th at 2:47 PM yes matters. Of the 510 Waitlist accounts, 26 are 100 miles (5.1%), 10 are 75 miles (1.9%), 19 are 50 miles (3.7%) and the remaining 89% are 25 Miles. 50 Miles is a good number to warrant a follow-up conversation as my concern is smaller companies will want to say they are actually servicing further than they can and we will be making recommendations that will create service issues.
>
> Bill Basil
>
> Sep 29th at 3:59 PM I have similar concerns as Jack here too. Smaller companies could think aggressively vs strategically in an effort to win business they may not be able to handle.With that being said, a phone call or meeting with every company isnt scalable, esp once we’re really cookin. I would suggest that we create some sort of help icon or blocker at this stage so people understand more doesnt always mean better, accuracy is highly recommended for the best experience.
>
> Jack Ellison
>
> Sep 29th at 4:07 PM @Bill Basil 50 miles can be entered without issue so no bottleneck here. The link to set up a follow-up call will be week out those that are stretching their service area, e.g. >70% follow-up calls will never be booked as they know they are stretching. The 30% that do book a call, we want to talk to as they likely have more branch offices (parent/sub conversation), coaching/mentorship opportunities and will ultimately we want to increase the option/flexibility to increase subscription price the more markets a company is visible.
>
> Bill Basil
>
> Sep 29th at 4:36 PM Lets chat on this more Jack. I think we’re onto something here, we’ll flush out some ideas."""
17,ROUTE-599,ISN Compliance Status Field,Contractor ISN Compliance Status Tracking,-,Vetting,Profile,Tracks ISNetworld approval for CBRE-type clients,Low,"[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1759270423417879)

> ""working on a project via KleenMark and CBRE (Real Estate Management Company) who is KleenMark's customer ask their vendors they work with PRIME and SUB be approved via ISN (see below). Not sure if this is or is not a requirement, although Mike with KleenMark is asking for us to know if they are. Log this feedback as we will may need to have an section for this requirement (if it is a requirement)ISN is a software company providing solutions for vendor risk, contractor management, and other compliance-related services; CBRE is the world's largest commercial real estate services and investment firm, with offerings in leasing, property management, investment, and development. While they are separate entities, CBRE uses its own internal technology solutions and data platforms to serve its clients in managing real estate portfolios and transactions. There is no inherent connection or common ownership between the ISN software and CBRE's real estate business.[https://www.isnetworld.com/en/customers/contractors-suppliers](https://www.isnetworld.com/en/customers/contractors-suppliers)"""
18,-,Federal Security Code Field,Federal Security Code,-,Compliance,Profile,Captures contractor federal security clearance,Low,
19,ROUTE-598,Opportunity Data Fields Sync (CSV/Batch/Manual),"Opportunity Data, Import & UI Sync MVP",-,Data,Opportunity,Aligns required fields across all input methods,Medium,"[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1759931339787459)

[https://www.loom.com/share/096153ed2e8442a0a44976b37ce46ba2?sid=b6a734f9-f0ee-4ae5-a590-b1cc50cbf1c2](https://www.loom.com/share/096153ed2e8442a0a44976b37ce46ba2?sid=b6a734f9-f0ee-4ae5-a590-b1cc50cbf1c2)

""I provided on this channel what I feel is worthwhile MVP as well as Parking Lot Feedback (combo of video and text above), although as mentioned not sure what is and is not making it to the MVP TO DO LIST or added to the PARKING LOT. While I know focus on MVP is top priority, it would be convenient for all of us to see the growing list so 1) we are collectively not sending duplicate feedback and 2) in some cases I may want to have a convo on something that was moved to parking lot that should be discussed as part of MVP. All that said, I am happy to help where I can.I re-reviewed my feedback above and listed below is some of the feedback provided that I feel should be included in the MVP. If after reviewing you have questions or need reasoning around why it should be included in the MVP, happy to quick connect to explain why. Add the following data fields to Opportunity Location capture - Import CSV, Batch ZIP and Single Additions

> Opportunity Type (Recurring Service or One-Time Service) - \*\*POST MVP IS FINE ALTHOUGH WANT TO DISCUSS WHY ASK AND SEGMENT OPPORTUNITIES Opportunity Status (Active Opportunity vs Potential Opportunity) Active = Prime Has Been Awarded Biz vs Potential = Prime is working to secure biz) \*URGENCY CONVO Total Cleanable Area (renaming - need contractors thinking cleanable not total sq ft) Service Frequency Service Window (Times) Scope Of Work (attachment in dedicated section - clear on summary page) Scope Of Work Addendum - Additions/Subtractions To Master Scope Of Work By Location If Applicable (attachment in dedicated section - clear on summary page) Tag Work Opportunities (Yes, No, Potential) Opportunity Duration (# Months or One Time Project) Service Start Date (Target) \*I noticed the data being collected between Batch ZIP and Manual Add is not in sync, e.g. 1) Batch Add is saying Facility Type and Services are optional whereas they are required in Manual Add , 2) Location Name and sq ft is missing on Batch Add and 3) should add a placeholder for Batch Add with U.S. being default. Someone needs to review each of these as they should be 100% in sync. The IMPORT CSV > rewatch [https://www.loom.com/share/096153ed2e8442a0a44976b37ce46ba2?sid=b6a734f9-f0ee-4ae5-a590-b1cc50cbf1c2](https://www.loom.com/share/096153ed2e8442a0a44976b37ce46ba2?sid=b6a734f9-f0ee-4ae5-a590-b1cc50cbf1c2) Some of the takeways ---a) Upload & Analyze Button vs Import & Geocode is not clear at start, b) Import & Geocode is likely too much info -- just IMPORT, and c) Import button is not easily found (very bottom and to the far right of a not full screen).OVERALL: THE FEEDBACK HAS BEEN WE NEED TO MAKE THIS PROCESS QUICK WHICH I AGREE WITH ALTHOUGH KEEP IN MIND WE HAVE TO LOOK AT THE OVERALL PROCESS/TIME AND NOT JUST A STEP, e.g. WE ARE REDUCING OVER 80% OF THE TIME INVOLVED IN THE ENTIRE PROCESS VIA THE SEARCH/FIND FUNCTIONALITY WHICH IS A HUGE WIN AND SHOULD BE SOMETHING WE COMMUNICATE. ALSO KEEP IN MIND THAT LEAVING OUT KEY ELEMENTS LISTED ABOVE IS GOING TO ADD MORE TIME TO A PROJECT AS CONTRACTORS (ON BOTH SIDES) ARE GOING TO HAVE TO STOP AND ASK/ANSWER QUESTIONS WE KNOW THEY ARE GOING TO ASK - SO WHY MAKE THEM ASK AND ADD TIME TO A PROJECT.2. The Opportunity Description should not be where we add scope of work. This should field just be a high level overview of the project and Scope of Work should be an attachment3. Incorporate An Opportunity Import Template to set standard around ideal data to be collected. Provided the following in prior feedback and discussed on weekly progress and feedback calls. [https://docs.google.com/spreadsheets/d/1JvqFkFFXeRk078PxrzA74LH2qzXGtQZC/edit?usp=sharing&ouid=114154587924383815728&rtpof=true&sd=true4](https://docs.google.com/spreadsheets/d/1JvqFkFFXeRk078PxrzA74LH2qzXGtQZC/edit?usp=sharing&ouid=114154587924383815728&rtpof=true&sd=true4). OpportunitiesAll Opportunities Summary Page: Can we assign a unique Route # to each Opportunity so everyone haas a clear reference number as start we start to build volume, e.g. ROU-XXXXXXX. Suggest that if an update is made to an Opportunity, we signal this updated via a suffix at the end of the number, e.g. ROU-1234.03 tells us this is Route Exchange Opportunity 1234 version 35. Settings >Profile (Team Member) Add Telephone and Cell Number -- IMPORTANT: We have to be clear on these data fields for SMS purposes, e.g. if we are just capturing Phone and not sure if it is Phone (land line) or Cell, we will not know what number we should use for SMS campaignsTeam Add Last Active Date (if the screen has to scroll right to left to view more data, that is fine - perhaps make Name Column static and other data fields slide) Add CellCompany Where is this on the staging, e.g. able to update/edit Company Settings, Add New Branches/Satellite Offices? Even if a user does not have the ability to edit, they should be able to see what it communicates (another layer of eyes looking at it and making recommendations to ADMIN)Credentials Rework the top header that reads ""Build trust with potential clients through verification and Route + ISSA certification program"". This section is more than ISSA and ISSA should only be highlighted in areas they are relevant.We use the word Verified in the Route Verification section. Who is verifying? Maybe not the right word to use?Rework the sub header under - Route Verification section, e.g. ""Verify your company identity to build trust with potential clients"" should be more about your business being business readyShould have the ability to quick view and download any documents that are captured in this section --6. SubcontractorsFor this section, we are searching Contractors for Subcontract Opportunities. As such, recommend we rename Contractors as no need to call one a Prime or Subcontractor if searching.How does the Active Searches work? 1) There is no way to add multiple zip codes and search filters and 2) no name, save, crated by and share buttonHow does the Favorites work? Think should be a better name than Favorites. Also, see feedback in this channel on the need to and how to classify these companies."""
20,ROUTE-597,Add Second Admin Email Campaign,Email Template: Add Secondary Admin,-,Security,Email,Prompts single-admin accounts to add backup,Low,"[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1758545819655069)

> ""{type: uploaded file fileName: image_55921d.png
>
> } @Domenico Amoroso @Carly Good template for us to use down the road for those accounts with only one (1) ADMIN. See attached.""
> 
>
> ![image.png](https://uploads.linear.app/80ab0ef7-50e3-4a06-bade-2a91fe571f79/07b2ffb6-1c8f-43d2-932c-a8db6abb3a50/7b0d75b5-9d8c-4eed-a847-13651bbf50f0)"
21,ROUTE-596,Per-Contact Notification Preferences,Advanced Contact and Notification Settings,-,Notifications,Profile,Lets each contact choose alert types (Sales vs. Marketing),Medium,"[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1758207452173839)

> ""ADD TO PARKING LOT: As we go deeper into each respective company via coaching, sales, marketing, accounts payable, etc. we have a growing number of contacts we are capturing for each of these companies. I am assuming these contacts within HubSpot will eventually make it over to Route Marketplace or vice versa. To that end, each of these contacts will have 1) unique profiles on if/when/where their contact info is shared within Route Marketplace and 2) the email notices they should/need to receive.For example, a primary sale contact for a company needs to have their information shared in the company profile although there are 2 other sales contacts within the company. that may or may not need to be listed On the reverse side each of these three sales contacts want to be alerted to sales opportunity, although the president, director of marketing, accounts payables lead will not need to get these notices although they would like to be made aware of live events we are hosting, platform updates, etc. In short lots of communications variables. Sending this feedback over as would like to make it a topic when time is right. Keep in mind we will need to consider if/when/how C&C, TJS, MHCB also play into this profile set up under TEAM PROFILE and/or individual PROFILE.""
>
> ![image.png](https://uploads.linear.app/80ab0ef7-50e3-4a06-bade-2a91fe571f79/b74d6372-35e7-453a-99a0-956ec2e1da58/fd8bd860-4f36-43af-86ea-616778c7b7e5)"
22,ROUTE-595,Clone Branch Profiles (100+ locations),Enable Copying of Company Branch Profiles,-,Scale,Profile,One-click duplication for national accounts like Jan-Pro,Medium,"[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1758129743729019)

> ""Based on verbal Jan-Pro provided today, they are going to have over 100 branches within Marketplace. As such, their company/branch profiles will likely be very close to the same in each market and they MAY have 2-3 contacts within their corporate office which manages the inbound opportunities to these 100 branches. Still to be determine and will include you on the planning call once we get to this point, although I can see a need for the ability to copy and paste a company profile to other branches within the same company. No action requested, although something to begin thinking about, e.g. Pinch is another account that will need this too and is active in Marketplace now.
>
> . What does a “branch” mean in this context @Jack Ellison ? (edited)
>
> They have a HQ Corporate office and xxx satellite offices across the U.S. This ties back to parent/child and admin discussions we have had in the past too, e.g. corporate has the ability to set up and manage who has access, what they see, connection of teams on projects between branches/satellite offices. Not asking we solve for MVP although will be a topic of conversation as we get more of the larger national players onboard.
>
> Ernesto
>
> 12:29 PM Agreed.But do the satellite offices matter?
>
> 12:29 If the contract has services area and contract details why do the satélite offices matter?
>
> Jack Ellison
>
> 12:31 PM They are looking to utilize as both a prime, a sub and eventually leads. If they are a sub or are looking for leads, you have to put the satellite offices on a map so they come up in a search
>
> Ernesto
>
> 12:34 PM Agreed. But it would be on a case by case basis because not all satellite offices will sub at any given point.
>
> Jack Ellison
>
> 12:36 PM Set up a call with you me, Ricardo as better live discussion.
>
> Ernesto
>
> 12:38 PM Would be extremely helpful to keep on this thread.
>
> 12:38 We’re not acting on this right away so slack should be good for now until after launch
>
> Jack Ellison
>
> 12:40 PM We will be adding Jan Pro to the Marketplace map --- all 100+ branches/satellite offices. If we do not have the branch/satellite offices set up with their profile, service area, how will Jan Pro be included and found by Primes? Eventually see leads?
>
> Ernesto
>
> 12:44 PM Is Jan pro engaging primarily as a prime or sub with the current convo we have?
>
> 12:46 I assume we sold white glove service?
>
> Jack Ellison
>
> 12:47 PM BOTH PRIME / SUB role as will be the case with many multi branch/satelite offices accounts. EVERYTHING we are signing now is Founding Partner/White Glove. (edited)
>
> Jack Ellison
>
> 12:48 PM Stopping conversation for now. This is a WIN and will pull you back in once we have kick off call scheduled. Just take my notes and add them to the board please as it is a placeholder for now."""
23,ROUTE-594,Enhanced Vetting Questions,Contractor Vetting Data Fields and Vetting Questions,-,Vetting,Profile,Captures retention rates; ownership structure; QA programs,Medium,"[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1758225237249429)

> ""@Ernesto feedback from KleenMark on key data fields they want to know when vetting a new contractor. Placed an next to those we have in progresss/on our radar and next to those we may want to consider. I have added in ALL CAPS additional notes. SEE ATTACHED DOCUMENT. Client retention 85% or betters THIS IS A GREAT QUESTION ALTHOUGH ONE THAT IS HARD TO VALIDATE (TRUST FACTOR). NEED TO PUT TIME FRAMES ON THE QUESTION TO SHOW TRENDS, e.g. 1 YEAR, 2 YEAR, 3 YEAR
>
> Employee retention or if you want to look at it as a turnover, we want that number to be less than 75% annually. THIS IS A GREAT QUESTION ALTHOUGH ONE THAT IS HARD TO VALIDATE (TRUST FACTOR).
>
> Private companies, of course. THIS IS A GOOD SEARCH FILTER EVENTUALLY WHEN WE OPEN UP TO OWNERS/MANAGERS AND IS MORE THAN SIMPLE YES/NO QUESTION AS SOME COMPANIES ARE PRIVATE WITH PRIVATE EQUITY BEHIND THEM, SO QUESTION & OPTIONS MAY BEQuestion: What best describes your company’s ownership structure? Options: Private (100% privately owned) Public (100% publicly traded) Mixed – Combination of private and public ownership If mixed, please indicate approximate percentage privately held: \___\_ %
>
> Desirable revenue 2 - 20mm
>
> Must purchase through us all chemical, product, and equipment. THIS WOULD BE SOMETHING ADDED IN SCOPE OF WORK AND NOT A SEARCH CRITERIA
>
> More states the better:)
>
> Certification third-party.
>
> Multi vertical - Commercial only. No residential. - NO ISSUES AS SMALLER ACCOUNTS THEY WILL BE FINE IF THEY HAVE TO USE RESIDENTIAL CLEANERS THAT KNOW COMMERCIAL
>
> Must stay here to keep performance indicators if we are subcontracting versus referring.
>
> Quality assurance program. THIS WOULD BE MORE A QUESTION IF THEY HAVE/UTILIZE (YES/NO) AND WHAT TOOLS DO THEY USE (DROP DOWN WITH KNOWN SaaS OPTIONS WITH MANUAL FORMS BEING THE TOP OPTION.
>
> Safety mod rate below 1. THIS IS THE EMR Score that keeps coming up that would be uploaded with COI (edited)"""
24,ROUTE-592,Profile Completion Progress Ring,Show Registration and Profile Progress,-,UX,Profile,Apple Watch-style visual to encourage completion,Low,"[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1754344126614949)

> 1. Registered vs. Unregistered Accounts Add a visual indicator (e.g., color shading or icon) to easily distinguish between registered and unregistered E‑CC accounts in Marketplace. Make this status a filterable field in both Marketplace and HubSpot to support segmentation and marketing outreach. This will help us push opportunities to registered users and better target unregistered accounts for follow-up and conversion campaigns.
> 2. Profile Completion Status Display the percentage of profile completion on each account’s profile card (e.g., “Profile 62% Complete”). This metric should be publicly visible to apply indirect social pressure on account owners to finish completing their profile. For a more engaging visual element, consider using a circular progress ring similar to the Apple Watch activity tracker:25% complete = quarter ring filled 50% complete = half ring filled 75% complete = three-quarter ring filled 100% = full ring Objective Encourage full registration and profile completion by making both status and progress visible and filterable. Prioritize sharing opportunities with registered accounts while nudging unregistered users to take action.
>
> Ernesto   4:55 PM 1 - makes sense 2 - I’ll add to backlog but not immediately convinced it’s an MvP must have.Profile completion should be incentivized by the ability to see more info on partially available contract info until they complete the profile.  (edited) 
>
> Any request I submit are for logging and initial prioritizing. We can assign and where applicable discuss priority level once we start to see the requests in a centralized location.  It should be noted, the heavy lift we will soon be facing is getting contractors to 1) create an account and 2) complete their profile so that we are dialing in strong recommendations quickly.  Currently we can find the contractors in an area quickly although are not sure they are a good match as we are lacking their profile data.  Lastly, this filtering in Marketplace and HubSpot will make it easier to market to those that have and have not registered for an account (two different messages).  Thanks
>
> Ernesto   Aug 4th at 5:06 PM Can you clarify what you mean by ""dialing in strong recommendations""?
>
> Jack Ellison   Aug 4th at 5:14 PM Sure a contractor comes to us and advises they need a contractor in zip code 06103 which is meets the following search filter A, B, C, D, E.  The more we push for 100% profile completion which includes profile data we ask for during the registration as well as the supplemental profile data, e.g. expanded Industries, Account Types, Ratings, Associations, Certifications, etc. we will begin to collect, the quicker we get to providing stronger first time recommendations and opportunities for those contractors completing their profiles.  KEEP IN MIND: On the reverse side, we will also be able to advise contractors why they are potentially missing opportunities (not being found in a search/filter) due to an incomplete profile or not having a particular qualifying filter search a customer is searching for, e.g. not ISSA member, not able to provide solar panel cleaning, does not provide medical cleaning services.
>
> Jack Ellison   Aug 4th at 5:27 PM as you take all this in, I feel think our average subcontract search (filter) for the next six months will be between 12-25 locations per project, which means we are being asked to deliver to a Prime (depending on the density of the market) around 3-5 subcontractor options per location (zip code) - so the ability for us to help ""dial in"" strong initial suggestions based on ""fuller"" profile data is key to keeping the total number of companies they have to vet, answer FAQ, negotiate with, etc. will be key to driving our value and price point.  Right now we are having to recommending 5-8 potential contractors as we have no profile data other than zip, thus they need to vet (in the case of 12-25 locations per project estimate above) anywhere between 60-200 companies.   Let me know if this does not make sense.
>
> Ernesto   Aug 5th at 2:19 PM I think the profile being a core driver and flywheel of the experience is an obvious mechanic for the product team. 2:20 The mindset we should have is that people will not trust us and will need to be subtly and organically show reasons to complete a profile. 2:20 Assume the users do not trust us. 2:20 Assume the users don't have time to fill out the information 2:21 Assume the users don't even want our help because they're already busy enough with their business. (edited)  2:21 We should build an experience that is mindful of this, and gradually gains the trust of the users to incrementally provide the right information at the right time."
25,ROUTE-591,Why Were a Good Fit Pitch Field,Add Pitch Field to Contractor Submissions,Later,Trust,Opportunity,Lets subs explain their value beyond price,Low,"[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1757598696852009)

> For contractors submitting a ""response"" to a posted contract aka Partnership Offer or Solution? Let's think of a name that isomething more about collaboration, overall value, and not just a bid or price.To that end, I see value in adding a comment field where a contractor (sub) can include feedback/comments on why they feel they are a good fit for a given project. This moves the ""submission"" past just price or profile fit and allows the contractor (sub) the opportunity to pitch WHY they are the best choice."
26,ROUTE-590,Background Check Section,Add Subcontractor Background Check Details,Next,Vetting,Profile,Criminal/Drug/E-Verify fields + SOP upload,Medium,"[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1757439385470989)

> With the increasing concerns around violence in the workplace and the potential risk subcontracting may bring, requesting we, post-MVP, bring up and review the following addition to the Business Documents section of the Company Profile. I have a marketing/sales agreement in place with a company and asking them if they have a standard SOP they can provide us so that those companies that do not have a formal process can quickly utilize the documents we provide them to start one and check this ""Business Ready Document"" TO DO off their list and if they go with our partner we get a rev share. See below is what I am proposing we incorporate into the Business Documents Section (of a form of this)Ricardo: This should be part of the Subcontract Certification Program as well.BackGround ScreeningDoes your company conduct background checks on all new hires as part of your onboarding process?Please identify the background screenings your company currently conducts: Criminal Yes No E-Verify Yes No I-9 Yes No Drug Yes No Motor Vehicle Yes NoDo you have a written Standard Operating Procedure (SOP) for your company's applicable background checks? If so, please attach a copy. Yes No Attach"
27,ROUTE-589,Years of Industry Experience Field,Capture Subcontractor Industry/Account Experience,Later,Trust,Profile,Shows years of experience per industry type,Low,"[Slack](https://routeplatform.slack.com/archives/C098HEHN2HL/p1757437656923329)

> PARKING LOT THIS FEEDBACK: Contractor advised they were swinging at a large portfolio account -- they were essentially asking me if there was a way to have a subcontractor share years experience with a given Industry/Account Type, e.g. Education/Daycare in this case."
